STUDENT_IDENTIFIER;STDNT_AGE;STDNT_GENDER;STDNT_BACKGROUND;IN_STATE_FLAG;INTERNATIONAL_STS;STDNT_MAJOR;STDNT_MINOR;STDNT_TEST_ENTRANCE;FIRST_TERM;CORE_COURSE_NAME_1_F;CORE_COURSE_GRADE_1_F;CORE_COURSE_NAME_2_F;CORE_COURSE_GRADE_2_F;CORE_COURSE_NAME_3_F;CORE_COURSE_GRADE_3_F;SECOND_TERM;CORE_COURSE_NAME_1_S;CORE_COURSE_GRADE_1_S;CORE_COURSE_NAME_2_S;CORE_COURSE_GRADE_2_S;CORE_COURSE_NAME_3_S;CORE_COURSE_GRADE_3_S;HOUSING_STS;RETURNED_2ND_YR;DISTANCE_FROM_HOME;HIGH_SCHL_GPA;HIGH_SCHL_NAME;FATHER_HI_EDU_CD;FATHER_HI_EDU_DESC;MOTHER_HI_EDU_CD;MOTHER_HI_EDU_DESC;DEGREE_GROUP_CD;DEGREE_GROUP_DESC;FIRST_TERM_ATTEMPT_HRS;FIRST_TERM_EARNED_HRS;SECOND_TERM_ATTEMPT_HRS;SECOND_TERM_EARNED_HRS;UNMET_NEED
7948195;18;F;BGD 1;Y;N;Marketing;N;1030;200508;ENVS 1105;B;COMM 1110;A;MATH 1111;A;200602;ECON 2106;B;ENGL 1101;A;;;On Campus;1;69;3,73;SCHOOL 111;2;High School;2;High School;B;Bachelors;13;13;15;15;
7917488;19;F;BGD 1;Y;N;Spanish;Art;1070;200908;ENVS 1105I;B;ARTH 1100;A;COMM 1110;A;201002;ENGL 1102;B;LEAD 1705;A;POLS 1101;A;On Campus;1;235;3,9;SCHOOL 20;3;CollegeBeyond;4;Other/Unknown;B;Bachelors;15;15;17;17;503460
7788754;18;M;BGD 1;Y;N;Undeclared;N;1110;200908;HIST 1111;B;COMM 1110;A;ENGL 1101;A;201002;POLS 1101;B;CHEM 1211;A;CHEM 1211L;A;Off Campus;0;69;3,93;SCHOOL 11;2;High School;3;College/Beyond;B;Bachelors;16;16;16;16;484800
7894872;18;F;BGD 3;Y;N;Music Performance;N;1070;201008;HIST 1112I;B;ITDS 2735;A;;;201102;MUSC 1100;B;FREN 1001;A;;;On Campus;1;69;3,03;SCHOOL 28;2;High School;3;College/Beyond;B;Bachelors;14;9;16;16;
7912775;18;F;BGD 1;Y;N;Early Childhood Education;N;910;200608;HIST 2111;B;COMM 1110;A;ENGL 1101;A;200702;HIST 1111;B;ENGL 1102;A;ITDS 2727;A;On Campus;1;90;2,77;SCHOOL 33;4;OtherUnknown;3;College/Beyond;B;Bachelors;15;15;15;15;
7805773;18;F;BGD 1;Y;N;Health Science;N;950;200708;HIST 2111;B;ARTH 1100;A;ENGL 1101;A;200802;POLS 1101;B;ENGL 1102;A;ITDS 2726;A;Off Campus;1;69;3,25;SCHOOL 25;2;High School;2;High School;B;Bachelors;15;15;16;16;396389
7919388;18;M;BGD 1;Y;N;Finance;N;1030;200708;HIST 2111;B;ENGL 1101;A;MATH 1111;A;200802;ECON 2106;B;COMM 1110;A;ITDS 2749;A;Off Campus;1;69;3,46;SCHOOL 10;1;Middle School/Junior High;2;High School;B;Bachelors;13;13;14;14;-357840
7794527;18;F;BGD 1;Y;N;General Business;N;1110;200708;HIST 2111;B;THEA 1100;A;;;200802;POLS 1101;B;COMM 1110;A;ENGL 1102;A;Off Campus;1;90;3,55;SCHOOL 263;;No Information;;No Information;B;Bachelors;13;13;14;14;
7881085;18;M;BGD 6;N;N;Undeclared;N;1150;200808;HIST 2111;B;ENGL 1101;A;MATH 1113;A;200902;ENGL 1102;B;FREN 1001;A;ITDS 1155;A;Off Campus;1;69;3,81;SCHOOL 10;;No Information;;No Information;B;Bachelors;14;14;15;15;-347580
7888239;18;F;BGD 1;Y;N;Marketing;N;1260;200808;HIST 2111;B;ARTH 1100;A;ECON 2106;A;200902;HIST 2112;B;ECON 2105;A;;;Off Campus;0;0;3;SCHOOL 8;2;High School;2;High School;B;Bachelors;19;19;12;12;-108960
7758261;18;M;BGD 4;Y;N;Biology;N;1030;200908;HIST 2111;B;ENGL 1101;A;FREN 1001;A;201002;BIOL 1215K;B;COMM 1110;A;ECON 2105;A;Off Campus;1;69;3,64;SCHOOL 11;2;High School;3;College/Beyond;B;Bachelors;14;14;13;13;73080
7882163;18;M;BGD 7;Y;N;Theatre Arts;N;870;201008;HIST 2111;B;ENGL 1101;A;;;201102;BIOL 1125;B;ITDS 2735;A;MATH 1101;A;On Campus;1;117;3,86;SCHOOL 486;3;CollegeBeyond;3;College/Beyond;B;Bachelors;17;13;15;15;
7970444;19;F;BGD 1;Y;N;Theatre Education;Theatre Arts;1070;200708;HIST 2112;B;ENGL 1101;A;;;200802;THEA 1100;B;ENGL 1102;A;;;Off Campus;1;138;3,3;SCHOOL 315;2;High School;;No Information;B;Bachelors;13;13;13;13;766320
7804680;18;F;BGD 1;Y;N;Theatre Arts;N;1220;200808;HIST 2112;B;THEA 1100;A;POLS 1101;A;200902;MATH 1111;B;ENGL 1102;A;SPAN 1001;A;Off Campus;1;69;3,37;SCHOOL 87;4;OtherUnknown;3;College/Beyond;B;Bachelors;16;16;16;16;
7999031;18;F;BGD 3;Y;N;Pre-Nursing;Biology;1150;200808;ITDS 1155;B;CPSC 1105;A;CHEM 1151;A;200902;ENGL 1101;B;MATH 1125;A;THEA 1100;A;On Campus;1;0;3,81;SCHOOL 34;3;CollegeBeyond;4;Other/Unknown;B;Bachelors;13;13;13;13;
7892974;17;F;BGD 1;Y;N;Undeclared;N;1300;200708;ITDS 2735;B;ANTH 1105;A;ENGL 1101;A;200802;POLS 1101;B;ENGL 1102;A;FREN 1001;A;On Campus;0;0;3,64;SCHOOL 135;4;OtherUnknown;3;College/Beyond;B;Bachelors;14;14;12;12;
8013020;17;F;BGD 3;Y;N;Psychology;N;1110;200908;MATH 1101;B;ENGL 1101;A;HIST 2111;A;201002;CHEM 1151;B;CHEM 1151L;A;COMM 1110;A;Off Campus;1;0;3,14;SCHOOL 130;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;15;15;
7874204;18;F;BGD 1;Y;N;Early Childhood Education;N;530;200508;MATH 1111;B;HIST 2111;A;LEAD 1705;A;200602;ENVS 1105;B;ENGL 1101;A;ITDS 2735;A;On Campus;1;90;3,57;SCHOOL 100;2;High School;3;College/Beyond;B;Bachelors;14;14;15;15;-558180
7864921;18;F;BGD 2;Y;N;Undeclared;N;830;200508;MATH 1111;B;HIST 2112;A;ITDS 2735;A;200602;ENGL 1101;B;ARTH 1100;A;MATH 1125;A;Off Campus;1;0;3,86;SCHOOL 34;4;OtherUnknown;3;College/Beyond;B;Bachelors;14;14;14;14;
8026886;18;M;BGD 3;N;N;Engineering Studies;N;1030;200608;MATH 1111;B;ENGL 1101;A;HIST 2112;A;200702;CPSC 1301;B;CPSC 1301L;A;POLS 1101;A;Off Campus;1;0;2,72;SCHOOL 34;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;14;11;
7798797;17;F;BGD 1;Y;N;Early Childhood Education;N;1070;200708;MATH 1111;B;ARTH 1100;A;ENGL 1101;A;200802;ECON 2106;B;COMM 1110;A;ENGL 1102;A;Off Campus;1;69;3,47;SCHOOL 2;2;High School;2;High School;B;Bachelors;13;9;15;15;
7854910;18;F;BGD 1;Y;N;Early Childhood Education;History;1150;200708;MATH 1111;B;ARTH 1100;A;ENGL 1101;A;200802;ECON 2106;B;ENGL 1102;A;HIST 2111;A;Off Campus;1;69;3,74;SCHOOL 130;2;High School;3;College/Beyond;B;Bachelors;16;16;17;17;20160
7939615;18;M;BGD 1;Y;N;Chemistry;N;1300;200508;MATH 1113;B;CHEM 1211;A;CHEM 1211L;A;200602;MATH 1131;B;ENGL 1102;A;POLS 1101;A;Off Campus;1;69;3,81;SCHOOL 1;3;CollegeBeyond;3;College/Beyond;B;Bachelors;16;16;14;14;
7902451;18;M;BGD 1;Y;N;Undeclared;N;990;200808;MATH 1113;B;POLS 1101;A;;;200902;ENGL 1101;B;ARTH 1100;A;ECON 2106;A;Off Campus;0;69;3,81;SCHOOL 153;;No Information;;No Information;B;Bachelors;16;16;14;14;
7793553;18;M;BGD 1;Y;N;Mathematics and Secondary Ed;N;1110;200508;MUSC 1100;B;ENGL 1101;A;MATH 1113;A;200602;PSYC 1101;B;COMM 1110;A;ENGL 1102;A;Off Campus;1;90;3,87;SCHOOL 52;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;15;14;
7949855;18;M;BGD 3;Y;N;Psychology;N;910;200608;MUSC 1100;B;ENGL 1101;A;HIST 2112;A;200702;PSYC 1101;B;ENGL 1102;A;;;On Campus;1;69;3,57;SCHOOL 234;2;High School;2;High School;B;Bachelors;12;12;14;10;173760
7998057;18;F;BGD 1;Y;N;Accounting;N;1150;200608;POLS 1101;B;ANTH 1105;A;ENGL 1102;A;200702;HIST 2111;B;COMM 1110;A;ITDS 2735;A;Off Campus;0;0;3,93;SCHOOL 130;3;CollegeBeyond;3;College/Beyond;B;Bachelors;14;14;13;13;
7902933;18;F;BGD 1;Y;N;Pre-Business;N;990;200908;POLS 1101;B;ENGL 1101;A;;;201002;ENGL 1102;B;COMM 1110;A;MATH 1111;A;On Campus;1;150;3,46;SCHOOL 38;3;CollegeBeyond;2;High School;B;Bachelors;13;9;12;12;109320
7877207;18;M;BGD 1;Y;N;Music Education;N;590;200908;POLS 1101H;B;ITDS 2735;A;PHYS 1125;A;201002;ENGL 1101;B;MUSC 1100;A;;;On Campus;1;150;3,93;SCHOOL 273;2;High School;2;High School;B;Bachelors;15;15;18;18;222300
7763963;18;F;BGD 1;Y;N;Psychology;N;1150;200508;PSYC 1101;B;ENGL 1101;A;MATH 1111;A;200602;POLS 1101;B;COMM 1110;A;ENGL 1102;A;On Campus;0;90;3,64;SCHOOL 137;4;OtherUnknown;2;High School;B;Bachelors;13;13;17;17;
7873980;17;F;BGD 4;Y;N;Psychology;Early Childhood Education;1220;200608;PSYC 1101;B;LEAD 1705;A;;;200702;COMM 1110H;B;POLS 1101;A;;;On Campus;1;69;3,53;SCHOOL 3;2;High School;2;High School;B;Bachelors;15;12;17;14;
7942260;18;F;BGD 1;Y;N;Undeclared;N;950;200708;PSYC 1101;B;ENGL 1101;A;HIST 2111;A;200802;CHEM 1151L;B;ARTH 1100;A;CHEM 1151;A;On Campus;1;138;3,33;SCHOOL 79;2;High School;2;High School;B;Bachelors;16;15;14;14;
8002068;18;F;BGD 1;Y;N;Music Performance;N;1220;200808;PSYC 1101;B;COMM 1110;A;HIST 1112;A;200902;HIST 2111;B;ENGL 1102;A;POLS 1101;A;Off Campus;0;138;3,34;SCHOOL 179;3;CollegeBeyond;2;High School;B;Bachelors;16;15;17;17;291900
7858205;18;F;BGD 1;Y;N;Early Childhood Education;N;990;201008;PSYC 1101;B;HIST 1111;A;HIST 2111;A;201102;POLS 1101;B;CPSC 1105;A;COMM 1110;A;Off Campus;1;69;3,9;SCHOOL 27;2;High School;2;High School;B;Bachelors;16;12;18;18;
7963035;18;F;BGD 1;Y;N;Pre-Nursing;Chemistry;910;201008;PSYC 1101;B;CHEM 1151;A;CHEM 1151L;A;201102;COMM 1110;B;STAT 1127;A;POLS 1101;A;Off Campus;1;90;3,37;SCHOOL 428;3;CollegeBeyond;3;College/Beyond;B;Bachelors;13;13;13;13;
7998663;18;F;BGD 1;N;N;Pre-Nursing;N;950;201008;PSYC 1101;B;CHEM 1151;A;CHEM 1151L;A;201102;COMM 1110;B;STAT 1127;A;POLS 1101;A;Off Campus;1;0;3;SCHOOL 8;3;CollegeBeyond;3;College/Beyond;B;Bachelors;16;16;13;13;
7952307;18;M;BGD 1;Y;N;Exercise Science;N;1150;200908;SOCI 1101;B;COMM 1110;A;ENGL 1101;A;201002;STAT 1127;B;CHEM 1211;A;CHEM 1211L;A;Off Campus;0;69;3,73;SCHOOL 11;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;16;16;-436140
7934705;18;F;BGD 1;Y;N;Music Education;N;910;201008;SOCI 1101;B;HIST 2111;A;;;201102;COMM 1110;B;ITDS 2735;A;MUSC 1100;A;On Campus;1;138;3,75;SCHOOL 452;;No Information;;No Information;B;Bachelors;12;12;20;20;
7912946;18;M;BGD 6;Y;N;Music Education;N;990;200608;SPAN 1001;B;ENGL 1101;A;;;200702;ENGL 1102;B;COMM 1110;A;MUSC 1100;A;Off Campus;1;0;3,2;SCHOOL 44;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;17;17;380760
7885794;18;F;BGD 1;Y;N;Undeclared;N;910;200608;SPAN 1001;B;ENGL 1101;A;PSYC 1101;A;200702;HIST 2112;B;COMM 1110;A;;;Off Campus;1;69;3,6;SCHOOL 11;3;CollegeBeyond;3;College/Beyond;B;Bachelors;12;12;13;9;
7943812;18;F;BGD 1;Y;N;Theatre Arts;N;590;201008;THEA 1100;B;ENGL 1101;A;;;201102;HIST 2111;B;ITDS 2735;A;;;On Campus;1;150;3,2;SCHOOL 152;2;High School;2;High School;B;Bachelors;16;16;12;12;
8001780;18;M;BGD 1;Y;N;Engineering Studies;N;1150;201008;THEA 1100;B;ENGL 1101;A;MATH 1111;A;201102;ECON 2106;B;ENGL 1102;A;HIST 2111;A;Off Campus;1;69;3,86;SCHOOL 11;3;CollegeBeyond;3;College/Beyond;B;Bachelors;12;12;15;15;
7920715;18;F;BGD 1;Y;N;Music Education;N;530;200608;COMM 1110;C;ENGL 1101;A;;;200702;ENGL 1102;B;MUSC 1100;A;;;Off Campus;1;150;3,14;SCHOOL 74;2;High School;2;High School;B;Bachelors;13;13;13;13;
7856917;18;F;BGD 1;N;N;Theatre Arts;N;1110;200608;ENGL 1101;C;THEA 1100;A;;;200702;ITDS 2735;B;ENGL 1102;A;;;Off Campus;1;190;3,47;SCHOOL 66;2;High School;3;College/Beyond;B;Bachelors;15;15;15;15;
8013022;18;F;BGD 1;Y;N;Theatre Arts;N;990;201008;FREN 1001;C;ENGL 1101;A;;;201102;ENGL 1102;B;SOCI 1101;A;THEA 1100;A;Off Campus;0;69;3;SCHOOL 11;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;11;20;20;
7794749;18;F;BGD 1;Y;N;Pre-Business;History;910;200908;HIST 1111;C;ENGL 1101;A;HIST 2111;A;201002;POLS 1101;B;ECON 2105;A;ENGL 1102;A;Off Campus;1;69;3,28;SCHOOL 27;3;CollegeBeyond;3;College/Beyond;B;Bachelors;13;9;12;12;-417420
7830588;18;M;BGD 3;Y;N;Music Performance;N;1110;201008;HIST 1112I;C;ENGL 1101;A;ITDS 2735;A;201102;ENGL 1102;B;MUSC 1100;A;;;On Campus;1;181;2,87;SCHOOL 115;2;High School;3;College/Beyond;B;Bachelors;14;14;15;15;
7970195;18;M;BGD 1;Y;N;Criminal Justice;N;1030;200708;HIST 2111;C;ENGL 1101;A;MATH 1101;A;200802;PSYC 1101;B;ENGL 1102;A;;;Off Campus;1;0;3,13;SCHOOL 22;2;High School;;No Information;B;Bachelors;12;12;15;15;-326880
7976537;18;M;BGD 4;Y;N;Music Education;N;990;200708;HIST 2111;C;ENGL 1101;A;;;200802;MUSC 1100;B;ENGL 1102;A;;;Off Campus;1;90;3,3;SCHOOL 262;3;CollegeBeyond;3;College/Beyond;B;Bachelors;13;13;17;17;187500
7947915;19;M;BGD 1;Y;N;Computer Science - Systems;N;1150;200508;MATH 1111;C;ENGL 1101;A;HIST 2111;A;200602;POLS 1101;B;CPSC 1301;A;;;Off Campus;1;69;3,63;SCHOOL 10;2;High School;1;Middle School/Junior High;B;Bachelors;12;12;11;11;-288180
7793924;18;F;BGD 1;Y;N;French with Teacher Cert;N;950;200508;MATH 1111;C;ARTH 1100;A;ENGL 1101;A;200602;HIST 2112;B;ENGL 1102;A;FREN 2002;A;Off Campus;1;69;3,27;SCHOOL 130;;No Information;;No Information;B;Bachelors;12;12;14;14;
7965676;19;M;BGD 1;Y;N;Music Education;N;1190;200608;MATH 1111;C;COMM 1110;A;ENGL 1101;A;200702;POLS 1101;B;ENGL 1102;A;MUSC 1100;A;Off Campus;1;150;3,23;SCHOOL 55;2;High School;2;High School;B;Bachelors;15;15;16;16;
7908955;19;M;BGD 1;Y;N;Accounting;N;1030;200608;MATH 1111;C;HIST 2112;A;POLS 1101;A;200702;ENGL 1101;B;ECON 2106;A;;;On Campus;1;69;2,79;SCHOOL 141;3;CollegeBeyond;2;High School;B;Bachelors;15;15;15;15;-299160
7929708;18;F;BGD 1;Y;N;Music Education;N;590;200508;MATH 1113;C;ENGL 1101;A;;;200602;COMM 1110;B;ENGL 1102;A;;;Off Campus;1;235;4;SCHOOL 20;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;17;17;
8030044;18;M;BGD 1;Y;N;Computer Science - Games;N;1220;200808;MATH 1113;C;CPSC 1301;A;CPSC 1301L;A;200902;ARTH 1100;B;ASTR 1105;A;ENGL 1102;A;Off Campus;1;69;3,37;SCHOOL 2;;No Information;;No Information;B;Bachelors;13;13;15;15;
7838786;18;F;BGD 3;Y;N;French with Teacher Cert;N;1220;200608;POLS 1101;C;ARTH 1100;A;COMM 1110;A;200702;FREN 1002;B;ENGL 1102;A;;;Off Campus;1;0;3,69;SCHOOL 1;;No Information;;No Information;B;Bachelors;16;16;16;13;
7915259;18;F;BGD 6;Y;N;Art;N;1070;200508;COMM 1110;INCOMPL;MATH 1111;A;;;200602;ENGL 1101;B;PSYC 1101;A;;;Off Campus;1;0;3,81;SCHOOL 1;3;CollegeBeyond;3;College/Beyond;B;Bachelors;13;13;12;12;71040
7912550;18;F;BGD 1;Y;N;General Studies/AS;N;;200608;ANTH 1105;NOT REP;COMM 1110;A;ENGL 1101;A;200702;ENGL 1102;B;ECON 2105;A;;;Off Campus;1;69;4;SCHOOL 11;;No Information;3;College/Beyond;A;Associate;14;14;16;16;579060
7882957;17;M;BGD 6;Y;N;Engineering Studies;N;1300;200708;ENGL 1101;NOT REP;CPSC 1301;A;CPSC 1301L;A;200802;MATH 1131;B;ECON 2106;A;MUSC 1100;A;Off Campus;1;59;4;SCHOOL 48;4;OtherUnknown;1;Middle School/Junior High;B;Bachelors;13;13;13;13;
8011093;18;F;BGD 1;Y;N;Biology;N;950;201008;ANTH 1105;B;COMM 1110;B;ENGL 1101;B;201102;ITDS 2735;B;ENGL 1102;A;MUSC 1100;A;Off Campus;1;69;3,53;SCHOOL 10;4;OtherUnknown;4;Other/Unknown;B;Bachelors;12;12;12;8;
7954299;18;F;BGD 1;Y;N;Mathematics and Secondary Ed;N;1070;200508;ARTH 1100;B;HIST 2112;B;ENGL 1101;A;200602;ENGL 1102;B;MATH 1111;A;;;Off Campus;1;69;3,25;SCHOOL 2;3;CollegeBeyond;3;College/Beyond;B;Bachelors;13;13;12;12;
7846568;18;F;BGD 1;Y;N;Exercise Science;N;950;200608;ARTH 1100;B;COMM 1110;B;ENGL 1101;A;200702;HIST 2111;B;ENGL 1102;A;PSYC 1101;A;Off Campus;1;90;3,56;SCHOOL 22;3;CollegeBeyond;3;College/Beyond;B;Bachelors;12;12;15;11;371280
7927714;18;F;BGD 1;Y;N;Early Childhood Education;N;990;200708;ARTH 1100;B;ECON 2106;B;ENGL 1101;A;200802;HIST 2112;B;ENGL 1102;A;ITDS 2735;A;Off Campus;1;69;3;SCHOOL 130;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;14;14;-153480
7904354;18;F;BGD 2;Y;N;Marketing;N;1070;200708;ARTH 1100;B;ENGL 1101;B;POLS 1101;B;200802;ENGL 1102;B;HIST 2111;A;;;Off Campus;1;69;3,4;SCHOOL 130;;No Information;;No Information;B;Bachelors;17;17;14;10;
7772712;18;F;BGD 1;Y;N;Psychology;N;950;200808;ARTH 1100;B;ENGL 1101;B;MATH 1111;B;200902;SPAN 1002;B;COMM 1110;A;ENGL 1102;A;Off Campus;1;0;2,64;SCHOOL 8;;No Information;;No Information;B;Bachelors;15;15;15;15;
7935857;18;F;BGD 3;Y;N;Chemistry;N;990;200808;ARTH 1100;B;CHEM 1211;B;SPAN 1001;B;200902;SPAN 1002;B;ENGL 1102;A;MATH 1113;A;On Campus;1;59;3;SCHOOL 327;2;High School;2;High School;B;Bachelors;13;13;16;16;407580
8029013;18;M;BGD 1;Y;N;Management;N;1070;200808;ARTH 1100;B;ECON 2106;B;ENGL 1101;B;200902;MATH 1132;B;ECON 2105;A;ENGL 1102;A;Off Campus;1;0;3,23;SCHOOL 24;3;CollegeBeyond;2;High School;B;Bachelors;15;15;16;16;-258660
7789177;18;F;BGD 3;Y;N;Pre-Nursing;N;1190;200908;ARTH 1100;B;CHEM 1151;B;MATH 2125;B;201002;POLS 1101;B;MATH 1101;A;;;Off Campus;1;0;3,5;SCHOOL 130;4;OtherUnknown;2;High School;B;Bachelors;14;14;14;10;31800
7886015;18;M;BGD 1;Y;N;History and Secondary Ed;N;;200608;ASTR 1105;B;HIST 2112;B;ENGL 1101;A;200702;MATH 1101;B;ENGL 1102;A;;;Off Campus;1;69;3,46;SCHOOL 2;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;13;13;
7889747;18;F;BGD 1;Y;N;Early Childhood Education;N;1030;200708;BIOL 1125;B;ENGL 1101;B;MUSC 1100;A;200802;POLS 2401;B;ENGL 1102;A;HIST 2112;A;Off Campus;1;0;3,69;SCHOOL 10;2;High School;3;College/Beyond;B;Bachelors;12;12;16;12;549120
7922253;18;F;BGD 1;Y;N;Mathematics;N;1110;200908;BIOL 1215K;B;ENGL 1101;B;POLS 1101;B;201002;ARTH 1100;B;ENGL 1102;A;HIST 1112;A;On Campus;1;69;3,6;SCHOOL 141;2;High School;2;High School;B;Bachelors;16;16;15;15;337680
7767190;18;F;BGD 1;Y;N;Nursing;N;1070;200608;CHEM 1151;B;MATH 1113;B;CHEM 1151L;A;200702;HIST 2112;B;ENGL 1101;A;ITDS 1155;A;On Campus;1;0;3,5;SCHOOL 139;;No Information;;No Information;B;Bachelors;16;16;14;14;
7974487;18;F;BGD 3;N;N;Nursing;N;1110;200808;CHEM 1151;B;POLS 1101;B;CHEM 1151L;A;200902;HIST 2111;B;ARTH 1100;A;ENGL 1102;A;On Campus;1;137;3,85;SCHOOL 398;2;High School;3;College/Beyond;B;Bachelors;16;16;16;16;649380
7886821;18;F;BGD 1;Y;N;Pre-Nursing;N;1030;200808;CHEM 1151;B;ENGL 1101;B;ARTH 1100;A;200902;HIST 2112;B;COMM 1110;A;ENGL 1102;A;On Campus;1;90;3,28;SCHOOL 72;;No Information;;No Information;B;Bachelors;16;12;16;16;
8012248;18;F;BGD 1;Y;N;Pre-Nursing;N;990;200808;CHEM 1151;B;ENGL 1101;B;CHEM 1151L;A;200902;STAT 1127;B;CPSC 1105;A;ENGL 1102;A;Off Campus;1;69;3,5;SCHOOL 10;2;High School;;No Information;B;Bachelors;13;13;13;13;-347580
7772354;17;F;BGD 1;Y;N;Pre-Nursing;N;1110;201008;CHEM 1151;B;PSYC 1101;B;CPSC 1105;A;201102;POLS 1101;B;ENGL 1101;A;HIST 2111;A;On Campus;1;0;4;SCHOOL 130;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;14;16;16;
7932935;18;F;BGD 1;Y;N;Exercise Science;N;590;200708;CHEM 1151L;B;COMM 1110;B;MATH 1113;B;200802;MUSC 1100;B;ENGL 1102;A;PSYC 1101;A;On Campus;1;138;3,23;SCHOOL 61;3;CollegeBeyond;3;College/Beyond;B;Bachelors;16;16;16;16;
7884033;18;F;BGD 1;Y;N;Nursing;N;;200708;CHEM 1151L;B;COMM 1110;B;ENGL 1101;B;200802;HIST 2111;B;ENGL 1102;A;THEA 1100;A;On Campus;0;138;3,13;SCHOOL 99;3;CollegeBeyond;3;College/Beyond;B;Bachelors;14;14;16;16;219180
7761801;18;M;BGD 1;Y;N;Chemistry;N;1110;200608;CHEM 1211;B;CHEM 1211L;B;ENGL 1101;B;200702;HIST 2112;B;ENGL 1102;A;MATH 1132;A;On Campus;1;150;3,38;SCHOOL 140;3;CollegeBeyond;3;College/Beyond;B;Bachelors;17;17;14;14;
7918120;18;F;BGD 3;Y;N;Chemistry;N;;200708;CHEM 1211;B;MATH 1111;B;CHEM 1211L;A;200802;MATH 1113;B;ITDS 2726;A;;;On Campus;1;150;3,52;SCHOOL 45;3;CollegeBeyond;3;College/Beyond;B;Bachelors;15;15;15;15;
7960167;17;F;BGD 1;Y;N;Accounting;N;910;200808;CHEM 1211;B;ENGL 1101;B;PSYC 1101;B;200902;ANTH 1105;B;ENGL 1102;A;ITDS 2735;A;Off Campus;1;69;3,74;SCHOOL 34;2;High School;2;High School;B;Bachelors;16;16;14;14;
7824864;19;M;BGD 1;N;N;Biology;N;1300;201008;CHEM 1211;B;CHEM 1211L;B;BIOL 1215K;A;201102;HIST 2111;B;COMM 1110;A;ENGL 1102;A;Off Campus;1;69;2,94;SCHOOL 7;1;Middle School/Junior High;1;Middle School/Junior High;B;Bachelors;15;15;13;13;
7884301;18;F;BGD 1;Y;N;Biology;N;590;200708;CHEM 1211L;B;POLS 1101;B;CHEM 1211;A;200802;COMM 1110;B;ENGL 1102;A;;;Off Campus;1;69;3,36;SCHOOL 2;2;High School;2;High School;B;Bachelors;17;17;14;11;
7994731;18;F;BGD 4;Y;N;Biology;N;990;200908;CHEM 1211L;B;ENGL 1101;B;MATH 1111;B;201002;MATH 1113;B;COMM 1110;A;HIST 2112;A;Off Campus;1;69;3,68;SCHOOL 130;3;CollegeBeyond;2;High School;B;Bachelors;15;15;19;19;150660
7992530;18;M;BGD 1;Y;N;Chemistry;N;;201008;CHEM 1211L;B;ENGL 1101;B;MATH 1111;B;201102;BIOL 1215K;B;ECON 2105;A;MATH 1113;A;Off Campus;1;90;3,6;SCHOOL 29;3;CollegeBeyond;2;High School;B;Bachelors;13;13;14;14;
7944880;18;M;BGD 1;Y;N;Joint Enrollment - Accel;N;1150;201008;CHEM 1211L;B;HIST 2112;B;MATH 1111;B;201102;ENGL 1102;B;BIOL 1215K;A;MATH 1113;A;Off Campus;1;69;3,6;SCHOOL 1;3;CollegeBeyond;2;High School;B;Bachelors;13;13;17;17;-139140
7951722;18;F;BGD 4;Y;N;Nursing;N;990;200508;COMM 1110;B;ENGL 1101;B;POLS 1101;B;200602;HIST 2111;B;ENGL 1102;A;ITDS 2735;A;Off Campus;1;69;3,5;SCHOOL 10;2;High School;3;College/Beyond;B;Bachelors;14;14;14;11;-169500
7921235;17;M;BGD 6;Y;N;Biology;N;530;200608;COMM 1110;B;MATH 1111;B;CHEM 1211;A;200702;POLS 1101;B;ENGL 1102;A;MATH 1113;A;Off Campus;1;69;3,4;SCHOOL 34;1;Middle School/Junior High;2;High School;B;Bachelors;16;16;17;17;919740
7971917;18;M;BGD 1;Y;N;Criminal Justice;N;;200708;COMM 1110;B;MATH 1101;B;SPAN 1001;B;200802;POLS 1101;B;ENGL 1102;A;;;On Campus;1;91;3,43;SCHOOL 274;2;High School;3;College/Beyond;B;Bachelors;16;16;15;15;
7949937;18;F;BGD 1;Y;N;Undeclared;N;;200708;COMM 1110;B;HIST 2112;B;ENGL 1101;A;200802;ENGL 1102;B;CHEM 1151;A;CHEM 1151L;A;On Campus;1;188;3,43;SCHOOL 369;3;CollegeBeyond;3;College/Beyond;B;Bachelors;16;16;14;14;
7822511;18;F;BGD 1;Y;N;Music Education;N;1110;200808;COMM 1110;B;HIST 2111;B;MATH 1111;A;200902;PHYS 1125;B;ENGL 1102;A;;;Off Campus;1;138;3,16;SCHOOL 157;2;High School;2;High School;B;Bachelors;13;13;15;15;
